Port  ,Pin  ,AF0                      ,AF1                                 ,AF2                                   ,AF3               ,AF4             ,AF5              ,AF6              ,AF7              ,AF8           ,AF9          ,AF10               ,AF11               ,AF12,AF13         ,AF14                      ,AF15
Port18,P18_0,                         ,                                    ,                                      ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          , 
Port18,P18_1,                         ,                                    ,                                      ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          , 
Port19,P19_0,                         ,                                    ,                                      ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          , 
Port19,P19_1,                         ,                                    ,                                      ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,    
Port20,P20_0,                         ,TCPWM0_LINE7                        ,TCPWM0_LINE_COMPL263                  ,                  ,                ,                 ,SCB1_SPI_SELECT1 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,DEBUG600_TRACE_CLOCK 
Port20,P20_1,                         ,TCPWM0_LINE0                        ,TCPWM0_LINE_COMPL264                  ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,DEBUG600_TRACE_DATA3 
Port20,P20_2,                         ,TCPWM0_LINE1                        ,TCPWM0_LINE_COMPL265                  ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,DEBUG600_TRACE_DATA2 
Port20,P20_3,                         ,TCPWM0_LINE2                        ,TCPWM0_LINE_COMPL266                  ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,DEBUG600_TRACE_DATA1 
Port20,P20_4,                         ,TCPWM0_LINE_COMPL7                  ,TCPWM0_LINE263                        ,                  ,CANFD0_TTCAN_RX0,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,DEBUG600_TRACE_DATA0 
Port20,P20_5,                         ,TCPWM0_LINE_COMPL0                  ,TCPWM0_LINE264                        ,                  ,CANFD0_TTCAN_TX0,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,
Port20,P20_6,                         ,TCPWM0_LINE_COMPL1                  ,TCPWM0_LINE265                        ,                  ,CANFD0_TTCAN_RX1,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          , 
Port20,P20_7,                         ,TCPWM0_LINE_COMPL2                  ,TCPWM0_LINE266                        ,                  ,CANFD0_TTCAN_TX1,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,
Port21,P21_0,                         ,TCPWM0_LINE3                        ,TCPWM0_LINE267                        ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,SDHC0_CARD_CMD 
Port21,P21_1,                         ,TCPWM0_LINE_COMPL3                  ,TCPWM0_LINE_COMPL267                  ,                  ,                ,                 ,                 ,TDM_TDM_TX_SD0   ,              ,             ,                   ,                   ,    ,             ,                          ,SDHC0_CARD_DETECT_N 
Port21,P21_2,                         ,TCPWM0_LINE4                        ,TCPWM0_LINE268                        ,                  ,                ,                 ,                 ,TDM_TDM_TX_SCK0  ,              ,             ,                   ,                   ,    ,             ,                          ,SDHC0_CARD_MECH_WRITE_PROT
Port21,P21_3,                         ,TCPWM0_LINE_COMPL4                  ,TCPWM0_LINE_COMPL268                  ,                  ,                ,                 ,                 ,TDM_TDM_TX_MCK0  ,              ,             ,                   ,                   ,    ,             ,                          ,SDHC0_IO_VOLT_SEL
Port21,P21_4,                         ,TCPWM0_LINE5                        ,TCPWM0_LINE269                        ,                  ,SCB3_SPI_MISO   ,                 ,SCB3_UART_CTS    ,TDM_TDM_RX_SD0   ,              ,             ,                   ,                   ,    ,             ,                          ,SDHC0_CARD_IF_PWR_EN 
Port21,P21_5,                         ,TCPWM0_LINE_COMPL5                  ,TCPWM0_LINE_COMPL269                  ,                  ,SCB3_SPI_MOSI   ,SCB3_I2C_SDA     ,SCB3_UART_TX     ,TDM_TDM_RX_FSYNC0,              ,             ,                   ,                   ,    ,             ,                          , 
Port21,P21_6,                         ,TCPWM0_LINE6                        ,TCPWM0_LINE270                        ,                  ,SCB3_SPI_CLK    ,SCB3_I2C_SCL     ,SCB3_UART_RX     ,TDM_TDM_RX_SCK0  ,              ,             ,                   ,                   ,    ,             ,                          , 
Port21,P21_7,SMIF1_SMIF0_SPIHB_SELECT0,TCPWM0_LINE_COMPL6                  ,TCPWM0_LINE_COMPL270                  ,                  ,SCB3_SPI_SELECT1,                 ,SCB3_UART_RTS    ,TDM_TDM_RX_MCK0  ,              ,             ,                   ,                   ,    ,             ,                          , 
